unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
239_CPU,55395430592.11095,54185209654.183136,2593026401.5305796,2607520019.5371914,2805896218.210729,2757763447.275119,3622179973.216709,2613586524.5517664,3622179973.216709,3397811505.284748,3261898184.428674,AutoTheta
23_CPU,40994206415.89987,13763238578.387856,2520949890.7868795,2521903055.286907,15834945591.073633,2725434405.587904,3750078287.9097176,2548199918.2002482,3750078287.9097176,2451112776.3336544,5171087327.317489,Naive
240_CPU,60340559.60311344,64621390.91957331,26461761.2525886,26848762.467188124,35853907.152703635,30953914.586739413,40769713.876281835,26398254.436629064,40769713.876281835,30365857.16689757,34318163.811597,WindowAverage
241_CPU,101416016495.33746,10362927538.65824,6477719990.5291605,5943209790.062364,27761176420.22128,5964224563.360872,6134292147.312181,4297541273.615265,6134292147.312181,7515485029.903725,5216823979.412671,WindowAverage
242_CPU,120937886326.81287,43541566901.11801,38662682065.64219,44048317671.02443,30092680459.5874,27448789027.69353,32895055613.695396,44218564036.75127,32895055613.695396,44068110208.20838,60119633316.40694,MSTL
243_CPU,127191604673.29263,19243403510.51279,19194009266.81832,19149811090.503098,84698674401.00073,18717885509.146774,18627179303.365063,18416672270.182735,18627179303.365063,20457147582.311264,68904073475.28581,WindowAverage
244_CPU,58861094201.27613,9348025755.723516,9277802927.327131,9016710426.241999,39910256771.485405,9138319724.232521,14796136848.18536,11496204959.678795,14796136848.18536,8868977751.817953,10270600096.6033,Naive
245_CPU,69880812791.14319,3726475980.8862886,4472309748.14448,3842006125.370494,5823786300.660195,3720501861.129581,4167125535.145841,3496276636.8271785,4167125535.145841,4442282421.434625,30243676485.547714,WindowAverage
246_CPU,314074143168.4711,309358271300.1037,112883630084.88371,54664807145.84293,206218600812.15805,51236659129.11964,55777056744.2072,51294089820.39366,55777056744.2072,37306715417.020515,219093467566.11188,Naive
247_CPU,70256626520.98454,3745486033.43324,3876170792.746459,3765869907.3034635,6178767607.564187,3955823912.1158323,4107741984.262948,3740399977.825039,4107741984.262948,3741597316.884184,8145906586.530309,WindowAverage
248_CPU,62321976487.33161,3310041250.257251,4331471807.118896,3236842844.8236427,6778879148.824397,3284996289.202095,3850736108.389788,3253101481.0271506,3850736108.389788,4356744828.117808,37465249801.99132,AutoETS
249_CPU,6333522441.790101,1173644002.0866344,249411025.64719272,249408437.5187239,1624937582.6989903,253978276.63077074,263949980.0986159,247324270.002427,263949980.0986159,259276642.74913025,322061408.150157,WindowAverage
24_CPU,2126233770.8389397,2135160710.7549968,1716407252.329613,1594039159.446886,1590551118.1896274,1782698501.203194,2442306229.2126718,1752311955.9931784,2442306229.2126718,2142189233.1678715,1699476317.2083862,CES
250_CPU,2623469927.9229774,463471336.5255861,511395344.0140219,505108769.59638757,417928778.3305035,481537106.7989455,745358157.6542965,452968565.4793058,745358157.6542965,441806068.670236,410996854.50131404,prophet
251_CPU,3222551703.227047,3155848387.34698,941976783.3256689,800326606.965021,825895703.764709,924851686.093095,1550429250.5503879,878964896.9153426,1550429250.5503879,789264918.2834672,828519468.0290588,Naive
252_CPU,186258908972.01038,175250382647.96048,50919777662.16545,50016867063.05002,31842431336.234684,42673315062.7499,57324958162.018875,27866579618.804306,57324958162.018875,36025506599.51846,26305659599.28985,prophet
253_CPU,13257407847293.096,2097102784772.7021,3075008007632.894,3004731851377.748,3363730120356.15,3055303113349.775,3408466485137.828,3396033630421.636,3408466485137.828,2927788381855.6377,4336959941913.441,AutoARIMA
254_CPU,32402240646.618965,7414336159.094703,8800516000.620152,7466484462.414289,26715927181.105312,7335090747.91287,8231797100.302442,7988833061.622439,8231797100.302442,7414336159.094703,13042727134.780632,MSTL
255_CPU,41182969172.77809,8392003587.940573,9372926979.26456,8552895843.159232,38850958051.04203,8725128069.200485,9065333063.68792,8613603694.734194,9065333063.68792,8619164072.789087,9532108035.63227,AutoARIMA
256_CPU,81037458625.47649,18999379970.549355,26279835479.06493,25127395132.34543,27556380488.229115,19332232746.30102,20541819003.6334,18438789370.65252,20541819003.6334,25859631591.04513,24332570560.246902,WindowAverage
257_CPU,53934768158.50744,3231136913.204128,3513661934.0174317,2983214011.6856136,3630897868.573656,3182228557.8555107,3766810610.798476,3058295066.699176,3766810610.798476,3405788077.429782,3715351995.3275886,AutoETS
258_CPU,165458331480.58463,8187029922.357953,27360025411.514244,7940641200.763798,21101716613.49344,7541762880.770941,8173186745.724799,7888488750.624114,8173186745.724799,8180628052.605662,7535026008.762261,prophet
259_CPU,124550924654.79565,5594323079.900681,5785898303.9358015,5616319780.468126,36646128322.7664,5565723444.90788,5937070284.3612995,5464817438.879181,5937070284.3612995,6488191444.930814,7563319695.675296,WindowAverage
25_CPU,2528994529.2210193,2543447241.462455,2056671103.87683,2058573921.9905136,2064342667.9293046,2224737940.9346237,3304998236.311112,2072402203.9408057,3304998236.311112,2546996566.721896,2144289100.8352594,AutoTheta
260_CPU,94866830658.06155,4454023253.598017,4188475191.6014957,4453609466.723748,21687426087.435177,4624808230.141356,6163133133.989427,4441790692.670951,6163133133.989427,5108215081.727813,5098974901.838175,AutoTheta
261_CPU,2346560202152.6367,1273210743655.869,1292663202818.6763,1264674839276.9065,536559733174.95435,1186782125985.5347,1219794571291.7273,1204966512054.6252,1219794571291.7273,1483039030514.3423,1773240572869.7715,CES
262_CPU,23257741109.92432,22683804009.859924,1417510406.553373,1427854801.6561546,9081470013.079718,1361387051.1150448,1603612224.584081,1739980063.0287557,1603612224.584081,1803644933.0834785,1861944346.918592,MSTL
